conversation_ID	utt_1	utt_2	emotion
540		So , we did okay at the strip club , right ?	joy
540		Oh yeah , that was great . Thanks to you , the hottest cocktail waitress there is quitting to teach the third grade !	anger
540		I can not believe it ! He still has not called .	anger
540	He still has not called .	It is Joshua .	sadness
540	Who , Josh ?	It is Joshua .	sadness
540		It is Joshua .	sadness
540	Who , Josh ?	No , I do not .	disgust
540	It is Joshua .	No , I do not .	disgust
540	he does not like Josh ?	No , I do not .	disgust
540		No , I do not .	disgust
540	I am gonna put my sweats back on .	Oh no !	surprise
540	I am gonna put my sweats back on .	Wait !	surprise
1027		Oh , hi ! How are you doing ?	joy
1027		Y ... You are going ?	surprise
1027		Ah , I ... I never should have said what I said .	sadness
1027	I ... I never should have said what I said .	It just does not matter how I feel .	sadness
1027	I ... I never should have said what I said .	I mean we work together , so nothing could really ever happen between us , and what I would love is just to go to work on Monday , and ... and never talk about this again , okay ? Big day Monday lots to do . So , we are okay ?	sadness
1027	nothing could really ever happen between us	Um , I am not .	sadness
1027	we are okay ?	Oh , god , I knew it , that I freaked you out .	sadness
1027	Um , I am not .	Oh , god , I knew it , that I freaked you out .	sadness
1027		Oh , god , I knew it , that I freaked you out .	sadness
1027	nothing could really ever happen between us	No , you did not . The only thing that freaked me out was you saying that nothing could ever happen between us .	sadness
1027		No , you did not . The only thing that freaked me out was you saying that nothing could ever happen between us .	sadness
1027	The only thing that freaked me out was you saying that nothing could ever happen between us .	Really ?	surprise
1027		Yeah , so , please do not fire me for doing this .	sadness
199	are we gonna get together or what ?	Great , I will see you then .	joy
199	Um , absolutely . Uh , how bout tomorrow afternoon ? Do you know uh , Central Perk in the Village , say , five ... ish ?	Great , I will see you then .	joy
199		Great , I will see you then .	joy
199	I will see you then .	Ok . Ok . Having a phone has finally paid off .	joy
199		Ok . Ok . Having a phone has finally paid off .	joy
199	I am hoping that when Bob does not show up , she will seek comfort in the open arms of the wry stranger at the next table .	Oh my god . You are pure evil .	disgust
199		Oh my god . You are pure evil .	disgust
199	You are pure evil .	Ok , pure evil , horny and alone . I have done this .	anger
330		All right , let do it !	joy
330		No , no , no . What was that ?	surprise
670		You are driving me crazy with that !	anger
670		Well , you suck ! But at least you suck at a man game now .	disgust
670		Chandler , I can not be playing games , Ross is gonna be home soon .	sadness
670	we crank it up a notch	I am intrigued .	joy
670	all we need is a little lighter fluid .	Okay , but be careful okay , because I wanna get our security deposit back .	fear
670		Yeah , I think we said good ... bye to that when we invented hammer darts .	joy
103		Look , here is a picture of Scotty Jared naked .	surprise
103	here is a picture of Scotty Jared naked	Hey he is wearing a sweater .	surprise
103		Hey he is wearing a sweater .	surprise
890	I sensed it was you .	What ? !	surprise
890		I can not figure out what to make Monica .	sadness
890	I can not figure out what to make Monica .	I am going crazy ! Okay ? Do you have any thing around here that looks homemade ?	anger
890	why do not you make her one of your little jokes .	I am going crazy ! Okay ? Do you have any thing around here that looks homemade ?	anger
890		Yeah , I guess I could use that . I could say that your love sends me to the moon .	joy
809	Gimme them !	No ! They are mine !	anger
809		No ! They are mine !	anger
809	Gimme them !	You stole them from me !	anger
809	No ! They are mine !	You stole them from me !	anger
809		You stole them from me !	anger
809	You stole them from me !	You stole them from me ! !	anger
809		You stole them from me ! !	anger
809	You stole them from me !	Gimme them !	anger
809	You stole them from me ! !	Gimme them !	anger
809		Look , I really need some help , okay ? Why ? Why did I have to speak in a British accent ? ! What do I do ?	anger
809	they are probably not even listening to you !	They are not listening to me ?	surprise
809		They are not listening to me ?	surprise
809		Monica , you really think I should try this phasing out thing ?	sadness
42	I hit her in the eye ! I hit her in the eye !	Oh , my god , I am so sorry . Are you ok ?	surprise
42	I hit her in the eye ! I hit her in the eye !	Ow . Um , it is just my lens . It is just my lens . I will be right back .	sadness
42		I hit her in the eye ! I hit her in the eye ! This is the worst break ... up in the history of the world .	sadness
42	I hit her in the eye ! I hit her in the eye ! This is the worst break ... up in the history of the world .	Oh my god !	surprise
42	How many of those have you had ?	Oh , I do not know , a million ?	joy
42		Oh , I do not know , a million ?	joy
42		I am not fine . Here she comes .	fear
42		How do you do that ?	surprise
1226	I think it is time we ... we had a conversation about ... about where things are with us .	Aw , we ... we are so ... So umm , well I ... I ... I like you and I ... I love umm , you know hanging out with you .	joy
1226	I ... I think I suggested that .	Aw , we ... we are so ... So umm , well I ... I ... I like you and I ... I love umm , you know hanging out with you .	joy
1226		Aw , we ... we are so ... So umm , well I ... I ... I like you and I ... I love umm , you know hanging out with you .	joy
1226	I ... I ... I like you and I ... I love umm , you know hanging out with you .	And I mean ... I am having a lot of fun .	joy
1226		And ... and the answer is ... is it is going somewhere ... fun .	joy
1236		Hey , you guys . Listen , I am sorry that I was hogging the game before ... Oh my God ! Your friends have some unfortunate initials !	sadness
1236		Hey , you guys . Listen , I am sorry that I was hogging the game before ... Oh my God ! Your friends have some unfortunate initials !	sadness
1236		Hey , you guys . Listen , I am sorry that I was hogging the game before ... Oh my God ! Your friends have some unfortunate initials !	sadness
1236		Hey , you guys . Listen , I am sorry that I was hogging the game before ... Oh my God ! Your friends have some unfortunate initials !	sadness
1236	They are all Chandler .	Chandler sucks ! He could not have gotten this good !	surprise
1236		I did . But it came at a price .	sadness
1236	Ben is coming over tonight and he can not see this .	Oh come on , by age seven kids have already seen orgies . Was it just me ? !	surprise
1236		Oh come on , by age seven kids have already seen orgies . Was it just me ? !	surprise
781		Okay ! So , we will just stay married .	joy
781	we will just stay married .	Yes , exactly !	joy
781	we will just stay married .	And I will make everyone call me Mrs . Geller !	joy
781		And I will make everyone call me Mrs . Geller !	joy
781	And I will make everyone call me Mrs . Geller !	Wow ! This is so amazing . I uh , I really thought I would have to talk you into this more .	joy
